ranking	critic_score	title	number_of_critic_ratings
1	99	The Wizard of Oz (1939)	110
2	100	Citizen Kane (1941)	76
3	99	Get Out (2017)	305
4	99	The Third Man (1949)	79
5	97	Mad Max: Fury Road (2015)	377
6	100	The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920)	50
7	98	Inside Out (2015)	332
8	100	All About Eve (1950)	64
9	98	Moonlight (2016)	321
10	99	Metropolis (1927)	116
11	98	E.T. The Extra-Terrestrial (1982)	120
12	97	Spotlight (2015)	334
13	98	It Happened One Night (1934)	53
14	97	Casablanca (1942)	77
15	100	Modern Times (1936)	53
16	100	Singin' in the Rain (1952)	50
17	98	The Godfather (1972)	88
18	100	Laura (1944)	60
19	98	The Big Sick (2017)	252
20	97	Psycho (1960)	86
21	96	12 Years a Slave (2013)	337
22	98	A Hard Day's Night (1964)	106
23	92	Wonder Woman (2017)	373
24	97	La Grande illusion (Grand Illusion) (1938)	64
25	100	North by Northwest (1959)	68
26	97	"Nosferatu	 a Symphony of Horror (Nosferatu	 eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)"	62
27	100	The Maltese Falcon (1941)	51
28	97	Boyhood (2014)	291
29	96	Gravity (2013)	327
30	99	The Battle of Algiers (La Battaglia di Algeri) (1967)	83
31	98	Snow White and the Seven Dwarfs (1937)	47
32	98	King Kong (1933)	56
33	96	Argo (2012)	333
34	93	Logan (2017)	337
35	100	Repulsion (1965)	60
36	98	Sunset Boulevard (1950)	60
37	98	Zootopia (2016)	259
38	100	The Adventures of Robin Hood (1938)	45
39	93	Star Wars: Episode VII - The Force Awakens (2015)	383
40	94	Arrival (2016)	347
41	100	Rear Window (1954)	63
42	99	Toy Story 3 (2010)	294
43	100	The Bride of Frankenstein (1935)	42
44	92	La La Land (2016)	386
45	100	Toy Story 2 (1999)	163
46	100	The Philadelphia Story (1940)	56
47	98	Bicycle Thieves (Ladri di biciclette) (1949)	57
48	100	M (1931)	51
49	98	Selma (2015)	242
50	100	The Treasure of the Sierra Madre (1948)	44
51	93	Baby Driver (2017)	313
52	100	Seven Samurai (Shichinin no Samurai) (1956)	57
53	98	Taxi Driver (1976)	80
54	100	12 Angry Men (Twelve Angry Men) (1957)	50
55	97	Alien (1979)	104
56	98	Up (2009)	288
57	100	All Quiet on the Western Front (1930)	42
58	100	The 400 Blows (Les Quatre cents coups) (1959)	54
59	96	Touch of Evil (1958)	71
60	98	The Night of the Hunter (1955)	65
61	98	A Streetcar Named Desire (1951)	55
62	95	The Jungle Book (2016)	296
63	95	Manchester by the Sea (2016)	295
64	97	Hell or High Water (2016)	248
65	97	Army of Shadows (L'Armée des ombres) (1969)	73
66	99	Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964)	76
67	98	The Babadook (2014)	219
68	99	Finding Nemo (2003)	260
69	97	Brooklyn (2015)	252
70	99	Rosemary's Baby (1968)	69
71	98	Lawrence of Arabia (1962)	80
72	100	Rebecca (1940)	49
73	93	War for the Planet of the Apes (2017)	298
74	94	The Dark Knight (2008)	326
75	100	The Conformist (1970)	50
76	92	Spider-Man: Homecoming (2017)	317
77	100	Frankenstein (1931)	45
78	98	Rash?mon (1951)	52
79	97	"The Good	 the Bad and the Ugly (1966)"	69
80	98	The Wrestler (2008)	223
81	100	The African Queen (1951)	40
82	99	L.A. Confidential (1997)	109
83	100	Open City (1946)	42
84	100	Pinocchio (1940)	46
85	100	Tokyo Story (T?ky? monogatari) (1953)	42
86	100	The Wages of Fear (1953)	42
87	97	It Follows (2015)	234
88	94	Finding Dory (2016)	297
89	98	On the Waterfront (1954)	62
90	98	I Am Not Your Negro (2017)	180
91	100	The Grapes of Wrath (1940)	44
92	96	High Noon (1952)	50
93	96	Harry Potter and the Deathly Hallows - Part 2 (2011)	317
94	98	Roman Holiday (1953)	53
95	91	Captain America: Civil War (2016)	363
96	100	The Last Picture Show (1971)	51
97	95	Carol (2015)	276
98	96	Moana (2016)	245
99	97	The Hurt Locker (2009)	275
100	100	Man on Wire (2008)	157
